ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(8.19768e+07)","Runtime Improvement""""(4.25839e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,51.83,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.05,0.02,5.04,8.20,16,"   16,  512,    1","   32,    1,    1"
1,65.67,checkSortedColumnWiseInt,checkSortedColumnWiseInt..,0.03,0.02,6.11,6.11,16,"   16,  512,    1","   32,    1,    1"
2,23.28,sortRowsKernelInt,sortRowsKernelInt..,22.63,5.27,89.48,89.48,18,"  512,    1,    1","   32,    1,    1"
3,35.42,transposeKernelInt,transposeKernelInt..,0.03,0.01,23.49,64.58,16,"   16,   16,    1","   32,   32,    1"
4,51.56,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.08,0.04,7.16,8.16,16,"   16,  512,    1","   32,    1,    1"
5,65.57,checkSortedColumnWiseInt,checkSortedColumnWiseInt..,0.03,0.02,6.12,6.12,16,"   16,  512,    1","   32,    1,    1"
6,28.38,sortRowsKernelInt,sortRowsKernelInt..,22.24,6.31,91.05,91.05,18,"  512,    1,    1","   32,    1,    1"
7,34.20,transposeKernelInt,transposeKernelInt..,0.03,0.01,24.39,65.80,16,"   16,   16,    1","   32,   32,    1"
8,87.21,checkSortedRowWiseInt,checkSortedRowWiseInt..,32.42,28.28,3.12,49.85,16,"   16,  512,    1","   32,    1,    1"
9,58.63,checkSortedColumnWiseInt,checkSortedColumnWiseInt..,4.44,2.60,22.94,41.37,16,"   16,  512,    1","   32,    1,    1"
